prediction,true_label,source,confidence,entropy,is_correct,used_hierarchy,used_ssp,used_dlts,experiment,row_index
Biochemistry,Cs,Hier_NLI,0.7479643093276638,1.185812282138129,False,True,False,False,hier,0
Medical,Medical,Human,1.0,1.5570581,True,True,True,True,hier,1
Civil,Civil,Human,1.0,1.9896972,True,True,True,True,hier,2
Ece,Ece,Human,1.0,1.5824451,True,True,True,True,hier,3
Civil,Medical,Hier_NLI,0.45452398261926436,1.0643749140450514,False,True,False,False,hier,4
Medical,Cs,Hier_NLI,0.40906940846228246,0.8242313299119263,False,True,False,False,hier,5
Biochemistry,Biochemistry,Human,1.0,1.9991716,True,True,True,True,hier,6
Mae,Ece,Hier_NLI,0.30162488502193485,1.1327937351720085,False,True,False,False,hier,7
Mae,Mae,Human,1.0,1.5831137,True,True,True,True,hier,8
Medical,Psychology,Hier_NLI,0.5927770957309695,1.3307595919485848,False,True,False,False,hier,9
Cs,Medical,Hier_NLI,0.8571704831936651,1.2102160264948736,False,True,False,False,hier,10
Ece,Biochemistry,Hier_NLI,0.4688923063085735,1.0684218989111658,False,True,False,False,hier,11
Biochemistry,Biochemistry,Hier_NLI,0.326027117445036,1.0825510737793052,True,True,False,False,hier,12
Medical,Biochemistry,Hier_NLI,0.6722587692688584,0.32553787709113563,False,True,False,False,hier,13
Ece,Ece,Human,1.0,1.5825,True,True,True,True,hier,14
Psychology,Medical,Hier_NLI,0.33370194865163566,1.4309407859471157,False,True,False,False,hier,15
Biochemistry,Biochemistry,Human,1.0,1.5807052,True,True,True,True,hier,16
Civil,Biochemistry,Hier_NLI,0.6041473406840218,0.3879299834439536,False,True,False,False,hier,17
Ece,Medical,Hier_NLI,0.5289178246264488,0.5885330303232484,False,True,False,False,hier,18
Medical,Medical,Hier_NLI,0.5852543122462128,0.8251811200101773,True,True,False,False,hier,19
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,hier,20
Ece,Cs,Hier_NLI,0.3975841718232566,0.2766530934381721,False,True,False,False,hier,21
Ece,Ece,Human,1.0,1.9783369,True,True,True,True,hier,22
Civil,Biochemistry,Hier_NLI,0.3541211283509135,0.9310061708185154,False,True,False,False,hier,23
Mae,Biochemistry,Hier_NLI,0.7493945266491026,0.3557499292246269,False,True,False,False,hier,24
Medical,Medical,Hier_NLI,0.4474000560357496,1.3927148083334249,True,True,False,False,hier,25
Mae,Biochemistry,Hier_NLI,0.7802544572593497,1.3441465870594065,False,True,False,False,hier,26
Biochemistry,Biochemistry,Hier_NLI,0.755068369224118,0.8621955994426569,True,True,False,False,hier,27
Psychology,Psychology,Human,1.0,1.5803268,True,True,True,True,hier,28
Cs,Biochemistry,Hier_NLI,0.4190273224285749,0.7292668485754695,False,True,False,False,hier,29
Biochemistry,Cs,Hier_NLI,0.8449743026490792,0.2436426769822708,False,True,False,False,hier,30
Ece,Ece,Human,1.0,1.5670974,True,True,True,True,hier,31
Ece,Biochemistry,Hier_NLI,0.3967677548538583,1.252620277356303,False,True,False,False,hier,32
Mae,Psychology,Hier_NLI,0.778287449120818,0.6311181381063118,False,True,False,False,hier,33
Biochemistry,Biochemistry,Human,1.0,0.9990195,True,True,True,True,hier,34
Ece,Ece,Human,1.0,0.99972403,True,True,True,True,hier,35
Psychology,Biochemistry,Hier_NLI,0.5523202324369711,0.44485364775661795,False,True,False,False,hier,36
Civil,Biochemistry,Hier_NLI,0.40980978941349727,1.4934172266143777,False,True,False,False,hier,37
Cs,Biochemistry,Hier_NLI,0.8628667899888984,1.0356163772579354,False,True,False,False,hier,38
Biochemistry,Biochemistry,Human,1.0,0.9991932,True,True,True,True,hier,39
Civil,Civil,Human,1.0,1.5698936,True,True,True,True,hier,40
Civil,Civil,Human,1.0,1.9937942,True,True,True,True,hier,41
Civil,Civil,Human,1.0,0.99999034,True,True,True,True,hier,42
Medical,Mae,Hier_NLI,0.8779544918402991,0.20340765170044844,False,True,False,False,hier,43
Ece,Medical,Hier_NLI,0.6068237470825146,1.2218139860674084,False,True,False,False,hier,44
Biochemistry,Biochemistry,Hier_NLI,0.5815047105760798,1.1505632097173575,True,True,False,False,hier,45
Psychology,Biochemistry,Hier_NLI,0.8405050396709026,0.661680357863076,False,True,False,False,hier,46
Mae,Medical,Hier_NLI,0.6576820065652107,0.2731649609253396,False,True,False,False,hier,47
Biochemistry,Biochemistry,Human,1.0,0.9998816,True,True,True,True,hier,48
Biochemistry,Biochemistry,Human,1.0,0.9999845,True,True,True,True,hier,49
Civil,Cs,Hier_NLI,0.459623173970802,0.7964228575482913,False,True,False,False,hier,50
Biochemistry,Biochemistry,Human,1.0,0.9999984,True,True,True,True,hier,51
Mae,Medical,Hier_NLI,0.5551183541127686,1.16864648199128,False,True,False,False,hier,52
Medical,Medical,Human,1.0,0.9997008,True,True,True,True,hier,53
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,hier,54
Biochemistry,Biochemistry,Human,1.0,0.9997462,True,True,True,True,hier,55
Mae,Mae,Human,1.0,0.9998239,True,True,True,True,hier,56
Ece,Cs,Hier_NLI,0.8015934470852484,0.20642065387195563,False,True,False,False,hier,57
Biochemistry,Biochemistry,Human,1.0,0.9986119,True,True,True,True,hier,58
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,hier,59
Medical,Medical,Human,1.0,1.5463215,True,True,True,True,hier,60
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,hier,61
Medical,Medical,Hier_NLI,0.8157379844128567,0.3288180073552443,True,True,False,False,hier,62
Medical,Medical,Human,1.0,0.99840504,True,True,True,True,hier,63
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,hier,64
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,hier,65
Mae,Medical,Hier_NLI,0.8635516820889082,0.966496648560692,False,True,False,False,hier,66
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,hier,67
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,hier,68
Medical,Biochemistry,Hier_NLI,0.47295653230653817,0.883362632801888,False,True,False,False,hier,69
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,hier,70
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,hier,71
Biochemistry,Civil,KNN,1.0,-0.0,False,True,True,True,hier,72
Cs,Cs,Hier_NLI,0.7079716541806265,1.3671227465301807,True,True,False,False,hier,73
Medical,Medical,Hier_NLI,0.34103328740072897,1.24070905830682,True,True,False,False,hier,74
Biochemistry,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,hier,75
Cs,Cs,Human,1.0,1.5833852,True,True,True,True,hier,76
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,hier,77
Mae,Biochemistry,Hier_NLI,0.7355415933160511,1.3863616688223084,False,True,False,False,hier,78
Cs,Cs,Hier_NLI,0.637919814027448,0.7523423248421319,True,True,False,False,hier,79
Cs,Cs,Hier_NLI,0.4498596558537503,1.202921120493781,True,True,False,False,hier,80
Cs,Cs,Human,1.0,1.5761219,True,True,True,True,hier,81
Cs,Cs,Cache,1.0,0.0,True,True,True,True,hier,82
Psychology,Cs,Hier_NLI,0.6927791491522999,0.16820346398180835,False,True,False,False,hier,82
Cs,Cs,Human,1.0,1.5669656,True,True,True,True,hier,83
Ece,Cs,Hier_NLI,0.38110926125203565,0.5122885431041261,False,True,False,False,hier,84
Civil,Cs,Hier_NLI,0.5002837780408597,1.001981422907043,False,True,False,False,hier,85
Cs,Cs,Human,1.0,1.5837185,True,True,True,True,hier,86
Biochemistry,Biochemistry,Human,1.0,1.578897,True,True,True,True,hier,87
Medical,Cs,Hier_NLI,0.5405481592763712,1.1691574191450256,False,True,False,False,hier,88
Ece,Mae,Hier_NLI,0.7662822982642421,0.8986893603123535,False,True,False,False,hier,89
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,hier,90
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,hier,91
Civil,Civil,Human,1.0,1.9924443,True,True,True,True,hier,92
Cs,Civil,Hier_NLI,0.4852705839166636,0.7730300019200383,False,True,False,False,hier,93
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,hier,94
Biochemistry,Medical,KNN,1.0,-0.0,False,True,True,True,hier,95
