prediction,true_label,source,confidence,entropy,is_correct,used_hierarchy,used_ssp,used_dlts,experiment,row_index
Psychology,Cs,Hier_NLI,0.8432239129574566,0.3695487448132827,False,False,False,False,flat,0
Medical,Medical,Human,1.0,1.5570581,True,True,True,True,flat,1
Civil,Civil,Human,1.0,1.9896972,True,True,True,True,flat,2
Ece,Ece,Human,1.0,1.5824451,True,True,True,True,flat,3
Civil,Medical,Hier_NLI,0.5456824451332664,0.9260174555831742,False,False,False,False,flat,4
Civil,Cs,Hier_NLI,0.8718436611732823,1.1375201168335076,False,False,False,False,flat,5
Biochemistry,Biochemistry,Human,1.0,1.9991716,True,True,True,True,flat,6
Cs,Ece,Hier_NLI,0.8192576430496117,0.5467953217478706,False,False,False,False,flat,7
Mae,Mae,Human,1.0,1.5831137,True,True,True,True,flat,8
Medical,Psychology,Hier_NLI,0.47790094261436344,0.24658721960739016,False,False,False,False,flat,9
Ece,Medical,Hier_NLI,0.3955698224096751,1.1034449360741085,False,False,False,False,flat,10
Medical,Biochemistry,Hier_NLI,0.5612336376768081,0.5195769639320063,False,False,False,False,flat,11
Mae,Biochemistry,Hier_NLI,0.54113922477358,0.33290781403641057,False,False,False,False,flat,12
Mae,Biochemistry,Hier_NLI,0.6454315831987226,0.30681293975598434,False,False,False,False,flat,13
Ece,Ece,Human,1.0,1.5825,True,True,True,True,flat,14
Psychology,Medical,Hier_NLI,0.6500317393966488,0.5408733665374028,False,False,False,False,flat,15
Biochemistry,Biochemistry,Human,1.0,1.5807052,True,True,True,True,flat,16
Civil,Biochemistry,Hier_NLI,0.7499921906279852,0.9297492922792436,False,False,False,False,flat,17
Biochemistry,Medical,Hier_NLI,0.6059339689233662,0.6017631341713432,False,False,False,False,flat,18
Ece,Medical,Hier_NLI,0.3628935845644593,0.12892659223080422,False,False,False,False,flat,19
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,flat,20
Mae,Cs,Hier_NLI,0.8149748013318636,0.2356718085489355,False,False,False,False,flat,21
Ece,Ece,Human,1.0,1.9783369,True,True,True,True,flat,22
Medical,Biochemistry,Hier_NLI,0.4858587499111122,0.5067045460780667,False,False,False,False,flat,23
Medical,Biochemistry,Hier_NLI,0.8827784761839552,1.0235862750059286,False,False,False,False,flat,24
Ece,Medical,Hier_NLI,0.3707160652078621,0.23792110285594736,False,False,False,False,flat,25
Mae,Biochemistry,Hier_NLI,0.8749507033395021,0.8849195949009545,False,False,False,False,flat,26
Civil,Biochemistry,Hier_NLI,0.3546070841295102,0.26784021915360595,False,False,False,False,flat,27
Psychology,Psychology,Human,1.0,1.5803268,True,True,True,True,flat,28
Ece,Biochemistry,Hier_NLI,0.43862168276823565,0.39626145828913406,False,False,False,False,flat,29
Medical,Cs,Hier_NLI,0.32794796525192493,0.3410639385780678,False,False,False,False,flat,30
Ece,Ece,Human,1.0,1.5670974,True,True,True,True,flat,31
Civil,Biochemistry,Hier_NLI,0.7230678879833969,0.1941200897991347,False,False,False,False,flat,32
Cs,Psychology,Hier_NLI,0.8101792419430751,1.0398617443412264,False,False,False,False,flat,33
Biochemistry,Biochemistry,Human,1.0,0.9990195,True,True,True,True,flat,34
Ece,Ece,Human,1.0,0.99972403,True,True,True,True,flat,35
Civil,Biochemistry,Hier_NLI,0.5604426490895883,0.7487649663404482,False,False,False,False,flat,36
Civil,Biochemistry,Hier_NLI,0.8571132450254579,1.2634748172562735,False,False,False,False,flat,37
Mae,Biochemistry,Hier_NLI,0.6541794430533598,0.23844717597524373,False,False,False,False,flat,38
Biochemistry,Biochemistry,Human,1.0,0.9991932,True,True,True,True,flat,39
Civil,Civil,Human,1.0,1.5698936,True,True,True,True,flat,40
Civil,Civil,Human,1.0,1.9937942,True,True,True,True,flat,41
Civil,Civil,Human,1.0,0.99999034,True,True,True,True,flat,42
Psychology,Mae,Hier_NLI,0.6780042812679139,0.30262610667330114,False,False,False,False,flat,43
Psychology,Medical,Hier_NLI,0.807251521020462,0.5290408238906309,False,False,False,False,flat,44
